inventory,writer,count,source,destination,year,date,r_date,language,notes
DvdM_538a-145,"Della Faille, Jacques",1,Haarlem,Bremen,1591,15910915,NA,Dutch,
DvdM_558-012,"Janssen van der Meulen, Peeter",1,Newbury,Bremen,1591,15910917,15911026,Dutch,Changed both dates to new style
DvdM_586-02,"Maillet, Pierre",1,Middelburg,Bremen,1591,15910917,15910928,,Changed received date to new style
DvdM_660-007,"Bongars, Jacques",1,Frankfurt,Bremen,1591,15910918,15910923,,
DvdM_553-04,"Hoest, Mattheus de",1,Leiden,Bremen,1591,15910920,NA,Dutch,
DvdM_677-02,"Montens, Godevart",1,Leiden,Bremen,1591,15910922,NA,,St 2: 22 September 1591. Sent to Bremen
DvdM_538a-146,"Della Faille, Jacques",1,Haarlem,Bremen,1591,15910924,NA,Dutch,
DvdM_535-004/5,"Eeckeren, Francisco van",1,Venice,Bremen,1591,15910927,15911014,,Sent to Andries and Daniel in Bremen. Changed received date to new style.
DvdM_602-01,"Neste, Antonio van",1,Venice,Bremen,1591,15910927,15911014,,Sent to Andries and Daniel in Bremen. Changed received date to new style.
DvdM_598-01,"Minau, Balthasar",1,Vicenza,Bremen,1591,15911001,NA,,No exact date
DvdM_536-27,"Eeckeren, Robert van",1,Antwerp,Bremen,1591,15911002,NA,Dutch,Letter actually received in Leiden
DvdM_657-03,"Banos, Theophile de",1,Frankfurt,Bremen,1591,15911003,15911024,French,Changed both dates to new style
DvdM_454-02,Pittavin,1,Caen,Bremen,1591,15911003,NA,,
DvdM_535-006,"Eeckeren, Francisco van",1,Venice,Bremen,1591,15911004,15911021,,Sent to Andries and Daniel in Bremen. Changed received date to new style.
DvdM_536-28,"Eeckeren, Robert van",1,Antwerp,Bremen,1591,15911009,NA,Dutch,Letter actually received in Leiden
DvdM_519-05,"Bellasi, Agostino",1,Verona,Bremen,1591,15911009,NA,,"Received in Leiden, Sent to Andries and Daniel"
DvdM_553-05,"Hoest, Mattheus de",1,Leiden,Leiden,1591,15911010,NA,,
DvdM_538a-147,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911012,NA,Dutch,
DvdM_519-06,"Bellasi, Agostino",1,Verona,Bremen,1591,15911016,15911104,,Sent to Andries and Daniel
DvdM_519-07,"Bellasi, Agostino",1,Verona,Bremen,1591,15911018,15911119,,Sent to Andries and Daniel
DvdM_535-007,"Eeckeren, Francisco van",1,Venice,Bremen,1591,15911018,15911104,,Sent to Andries and Daniel in Bremen. Changed received date to new style.
DvdM_558-013,"Janssen van der Meulen, Peeter",1,Newbury,Bremen,1591,15911019,15911118,Dutch,Changed both dates to new style
DvdM_538a-149,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911020,15911021,Dutch,
DvdM_519-08,"Bellasi, Agostino",1,Verona,Bremen,1591,15911023,15911126,,
DvdM_598-02,"Minau, Balthasar",1,Vicenza,Bremen,1591,15911023,15911109,,"Did not change received date, because it probably went to Leiden"
DvdM_535-008,"Eeckeren, Francisco van",1,Venice,Bremen,1591,15911025,15911111,,
DvdM_536-29,"Eeckeren, Robert van",1,Antwerp,Bremen,1591,15911026,NA,Dutch,
DvdM_538a-150,"Della Faille, Jacques",1,Haarlem,Amsterdam,1591,15911028,15911028,Dutch,
DvdM_538a-151,"Della Faille, Jacques",1,Haarlem,Amsterdam,1591,15911030,15911031,Dutch,
DvdM_598-03,"Minau, Balthasar",1,Vicenza,Bremen,1591,15911031,15911119,,"Did not change received date, because it probably went to Leiden"
DvdM_602-02,"Neste, Antonio van",1,Venice,Bremen,1591,15911101,15911119,,Sent to Andries and Daniel in Bremen. Changed received date to new style.
DvdM_538a-152,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911102,NA,Dutch,
DvdM_538a-153,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911105,15911105,Dutch,
DvdM_274-33,"Della Faille, Marten",1,Antwerp,Leiden,1591,15911107,15911118,Dutch,
DvdM_535-009,"Eeckeren, Francisco van",1,Venice,Bremen,1591,15911108,15911126,,
DvdM_538a-155,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911111,15911112,Dutch,
DvdM_332,"Bukentop, Hendrick",1,The Hague,Leiden,1591,15911112,NA,Dutch,Servant of Jacques della Faille
DvdM_538a-156,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911113,15911113,Dutch,
DvdM_558-014,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1591,15911114,NA,,Changed date to new style. Addressed to Bremen but received in Leiden.
DvdM_535-010,"Eeckeren, Francisco van",1,Venice,Bremen,1591,15911115,15911202,,
DvdM_598-04,"Minau, Balthasar",1,Vicenza,Bremen,1591,15911115,15911128,,"Did not change received date, because it probably went to Leiden"
DvdM_538a-157,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911116,NA,Dutch,
DvdM_468-03,"Reide, Everhard de",1,The Hague,Leiden,1591,15911117,15911123,Latin,
DvdM_535-012,"Eeckeren, Francisco van",1,Venice,Bremen,1591,15911122,15911209,,
DvdM_598-05,"Minau, Balthasar",1,Vicenza,Bremen,1591,15911122,15911212,,"Did not change received date, because it probably went to Leiden"
DvdM_538a-158,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911129,15911130,Dutch,the letter was mistakenly dated from 30 November by Jacques
DvdM_558-015,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1591,15911208,NA,Dutch,Changed date to new style. Addressed to Bremen but received in Leiden.
DvdM_274-34,"Della Faille, Marten",1,Antwerp,Leiden,1591,15911210,15911219,Dutch,Full letter in DvdM 325-7 with address page in DvdM 274-34
DvdM_538a-159,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911216,15911218,Dutch,
DvdM_538a-160,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911222,15911223,Dutch,
DvdM_558-016,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1591,15911224,15920105,Dutch,Changed date to new style
DvdM_538a-161,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911228,15911228,Dutch,
DvdM_538a-162,"Della Faille, Jacques",1,Haarlem,Leiden,1591,15911229,NA,Dutch,
DvdM_538a-163,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920102,15920102,Dutch,
DvdM_602-03,"Neste, Antonio van",1,Venice,Bremen,1592,15920103,15920205,,Sent to Andries and Daniel in Bremen. Changed received date to new style.
DvdM_593a-120,"Meulen, Andries van der",1,Bremen,Leiden,1592,15920111,15920119,Dutch,
DvdM_538a-166,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920112,15920113,Dutch,
DvdM_538a-165,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920115,15920116,Dutch,
DvdM_345-01,"Della Faille, Carlo",1,Dordrecht,Leiden,1592,15920122,15920124,Dutch,
DvdM_538a-167,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920123,15920123,Dutch,
DvdM_558-017,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1592,15920203,15920224,Dutch,Changed date to new style
DvdM_345-02/3,"Della Faille, Carlo",1,Dordrecht,Leiden,1592,15920210,15920212,Dutch,
DvdM_538a-168,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920216,15920216,Dutch,
DvdM_558-018,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1592,15920219,15920315,Dutch,Changed date to new style
DvdM_538a-169,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920220,15920223,Dutch,
DvdM_274-35,"Della Faille, Marten",1,Antwerp,Leiden,1592,15920221,15920312,Dutch,
DvdM_680,"Palavicino, Oratie",1,London,Leiden,1592,15920308,15920315,French,
DvdM_538a-170,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920309,15920311,Dutch,
DvdM_434-01/02,"Meteren, Emanuel van",1,London,Leiden,1592,15920309,NA,Dutch,Written on 2 and 9 March 1592. Sent to Daniel through Guerard Becker in Middelburg.
DvdM_538a-171,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920311,15920312,Dutch,
DvdM_558-019,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1592,15920311,15920322,Dutch,Changed date to new style
DvdM_602-04,"Neste, Antonio van",1,Venice,Leiden,1592,15920313,15920320,,
DvdM_602-05,"Neste, Antonio van",1,Venice,Leiden,1592,15920313,15920320,,
DvdM_538a-172,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920319,15920320,Dutch,
DvdM_538a-173,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920320,15920322,Dutch,
DvdM_274-36,"Della Faille, Marten",1,Antwerp,Leiden,1592,15920402,NA,Dutch,
DvdM_538a-175,"Della Faille, Jacques",1,The Hague,Leiden,1592,15920412,NA,Dutch,
DvdM_353-01,"Fremin, George de",1,Liege,Leiden,1592,15920412,NA,,
DvdM_558-020,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1592,15920414,NA,Dutch,Changed date to new style
DvdM_480-3,"Sixtinus, R.",1,Frankfurt,Leiden,1592,15920502,15920510,Latin,
DvdM_538a-176,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920506,15920507,Dutch,
DvdM_538a-177,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920510,15920510,Dutch,
DvdM_558-021,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1592,15920510,15920601,Dutch,Changed date to new style
DvdM_538a-178,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920515,15920515,Dutch,
DvdM_538a-180,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920528,15920529,Dutch,
DvdM_439-01,"Moliart, Pieter",1,The Hague,Leiden,1592,15920529,15920529,,
DvdM_296-02,"Pierens, Anna",1,Stade,Leiden,1592,15920529,15920605,,
DvdM_439-02,"Moliart, Pieter",1,The Hague,Leiden,1592,15920531,15920531,,
DvdM_538a-182,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920603,15920603,Dutch,
DvdM_434-03,"Meteren, Emanuel van",1,London,Leiden,1592,15920603,NA,Dutch,Written on 24 May and 3 June 1592
DvdM_538a-183,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920618,15920619,Dutch,
DvdM_439-03,"Moliart, Pieter",1,The Hague,Leiden,1592,15920622,15920622,,
DvdM_558-022,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1592,15920623,15920702,Dutch,Changed date to new style
DvdM_538a-184,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920627,15920628,Dutch,
DvdM_274-37,"Della Faille, Marten",1,Antwerp,Leiden,1592,15920627,15920709,Dutch,
DvdM_538a-185,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920702,15920703,Dutch,
DvdM_614-01,"Pierens, Gillis",1,Amsterdam,Leiden,1592,15920702,15920705,Dutch,
DvdM_593a-121,"Meulen, Andries van der",1,Bremen,Leiden,1592,15920704,15920713,Dutch,
DvdM_538a-186,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920714,15920715,Dutch,
DvdM_538a-181,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920718,15920720,Dutch,Copy of a letter from Aertsen to Jacques from 1 June 1592 (old style)
DvdM_538a-187,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920724,15920724,Dutch,
DvdM_593a-122,"Meulen, Andries van der",1,Bremen,Leiden,1592,15920725,15920812,Dutch,
DvdM_538a-188,"Wissele, Hendrick van",1,Haarlem,Leiden,1592,15920727,15920728,Dutch,
DvdM_300,"Seghers, Jacques",1,Zoutkamp,Leiden,1592,15920801,15920815,,One of his sons became a servant of Daniel
DvdM_538a-189,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920802,15920803,Dutch,
DvdM_558-023,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1592,15920810,15920925,Dutch,Changed date to new style
DvdM_593a-123,"Meulen, Andries van der",1,Bremen,Leiden,1592,15920821,15920829,Dutch,
DvdM_538a-190,"Monicx, Willem",1,Haarlem,Leiden,1592,15920828,15920829,Dutch,
DvdM_538a-191,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920906,15920906,Dutch,
DvdM_538a-192–93,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920911,15920906,Dutch,
DvdM_593a-124,"Meulen, Andries van der",1,Bremen,Leiden,1592,15920912,15920919,Dutch,
DvdM_558-024,"Janssen van der Meulen, Peeter",1,Newbury,Leiden,1592,15920922,15921013,Dutch,Changed date to new style
DvdM_538a-196,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15920929,15920929,Dutch,
DvdM_336,"Busschuysen, Marya van",1,Utrecht,Leiden,1592,15920930,15920930,Dutch,
DvdM_538a-197,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921003,15921004,Dutch,
DvdM_295-04,"Meulen, Sara van der",1,Bremen,Leiden,1592,15921011,15921019,Dutch,Changed date to new style
DvdM_269-01,"Della Faille, Hester",1,Leiden,Antwerp,1592,15921015,NA,Dutch,
DvdM_439-04,"Moliart, Pieter",1,The Hague,Leiden,1592,15921015,15921016,,
DvdM_353-02,"Fremin, George de",1,Liege,Leiden,1592,15921016,15921022,,
DvdM_614-02,"Pierens, Gillis",1,Amsterdam,Leiden,1592,15921018,15921019,Dutch,
DvdM_558-025–6,"Janssen van der Meulen, Peeter",1,London,Leiden,1592,15921031,15921108,Dutch,Changed date to new style
