inventory,writer,source,destination,year,date,rec_date,resp_date,language,notes
DvdM_270-04,"Della Faille, Gio",Antwerp,Leiden,1593,15931031,NA,NA,Italian,
DvdM_270-05,"Della Faille, Gio",Antwerp,Leiden,1593,15931130,15931207,NA,Italian,
DvdM_270-06,"Della Faille, Gio",Antwerp,Leiden,1593,15931212,15931215,NA,Italian,
DvdM_270-07,"Della Faille, Gio",Antwerp,Leiden,1594,15940526,NA,NA,Italian,
DvdM_270-08,"Della Faille de Oude, Jacques",Antwerp,Leiden,1594,15940609,NA,NA,Dutch,Letter is small and signed by Jacques della Faille. It say ‘u oom’ so must be Jacques de Oude
DvdM_270-09,"Della Faille, Gio",Antwerp,Leiden,1594,15940623,15940701,NA,Italian,
DvdM_270-10,"Della Faille, Gio",Antwerp,Leiden,1594,15940721,NA,NA,Italian,
DvdM_270-11,"Della Faille, Gio",Antwerp,Leiden,1594,15941020,15941027,NA,Italian,
DvdM_270-12,"Della Faille, Gio",Antwerp,Leiden,1595,15950415,15950422,NA,Dutch,
DvdM_270-13,"Della Faille, Gio",Antwerp,Leiden,1595,15950906,15950912,NA,Dutch,
DvdM_270-14,"Della Faille, Gio",Antwerp,Leiden,1596,15960112,15960120,NA,Dutch,
DvdM_270-15,"Della Faille, Gio",Antwerp,Leiden,1597,15970301,15970305,NA,Dutch,
DvdM_270-16,"Della Faille, Gio",Antwerp,Leiden,1597,15970331,15970406,NA,Dutch,
DvdM_270-17,"Della Faille, Gio",Antwerp,Leiden,1597,15970429,15970507,NA,Dutch,
DvdM_270-18,"Della Faille, Gio",Antwerp,Leiden,1598,15980103,NA,NA,Dutch,
DvdM_270-19,"Della Faille, Gio",Antwerp,Leiden,1598,15980205,15980211,NA,Dutch,
DvdM_270-20,"Della Faille, Gio",Antwerp,Leiden,1598,15980407,15980421,NA,Dutch,Letter was begun on 30 March
DvdM_270-21,"Della Faille, Gio",Antwerp,Leiden,1598,15980629,15980707,NA,Dutch,
DvdM_270-22,"Della Faille, Gio",Antwerp,Leiden,1598,15980722,15980726,NA,Italian,
DvdM_270-23,"Della Faille, Gio",Antwerp,Leiden,1598,15980805,15980809,NA,Italian,
DvdM_270-24,"Della Faille, Gio",Antwerp,Leiden,1598,15980819,15980824,NA,Italian,
DvdM_270-25,"Della Faille, Gio",Antwerp,Leiden,1598,15981112,15981118,NA,Italian,
DvdM_270-26,"Wale, Jan de",NA,NA,NA,NA,NA,NA,Italian,No date on the letter
DvdM_270-27,"Della Faille, Gio",Antwerp,Leiden,1599,15990505,15990511,NA,Dutch,Signed Joan Giorgio della Faille
DvdM_270-28,"Della Faille, Gio",Antwerp,Leiden,1599,15990714,15990723,NA,Dutch,
DvdM_270-29,"Della Faille, Gio",Antwerp,Leiden,1600,16000717,16000725,NA,Italian,
DvdM_271-01,"Della Faille, Jan de Carlo",Antwerp,Leiden,1595,15950403,15950407,NA,Dutch,
DvdM_271-02,"Della Faille, Jan de Carlo",Antwerp,Leiden,1595,15951231,15960111,NA,Dutch,
DvdM_271-03,"Della Faille, Jan de Carlo",Antwerp,Leiden,1596,15960307,15960313,NA,Dutch,
DvdM_271-04,"Della Faille, Jan de Carlo",Antwerp,Leiden,1596,15960610,NA,NA,Dutch,
DvdM_271-05,"Della Faille, Jan de Carlo",Antwerp,Leiden,1596,15961206,15961214,NA,Dutch,
DvdM_271-06,"Della Faille, Jan de Carlo",Antwerp,Leiden,1597,15970225,15970302,NA,Dutch,
DvdM_271-07,"Della Faille, Jan de Carlo",Antwerp,Leiden,1597,15970801,15970807,NA,Dutch,
DvdM_271-08,"Della Faille, Jan de Carlo",Antwerp,Leiden,1597,15970812,15970824,NA,Dutch,received date somewhat ambiguous
DvdM_271-09,"Della Faille, Jan de Carlo",Antwerp,Leiden,1597,15970926,15971002,NA,Dutch,
DvdM_271-10,"Della Faille, Jan de Carlo",Antwerp,Leiden,1597,15971028,15971108,NA,Dutch,
DvdM_271-14,"Della Faille, Jan de Carlo",Antwerp,Leiden,1598,15980219,15980224,NA,Dutch,
DvdM_271-15,"Della Faille, Jan de Carlo",Antwerp,Leiden,1598,15980222,15980227,NA,Dutch,
