"Inventory","name","count","source","destination","year","date","r_date"
"DvdM_593a-062","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-13","NA"
"DvdM_538a-007","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-03-14","NA"
"DvdM_593a-063","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-14","NA"
"DvdM_593a-064","Staten van Brabant","1","Antwerp","Delft","1585","1585-03-14","NA"
"DvdM_593a-066","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-15","NA"
"DvdM_593a-066","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-19","NA"
"DvdM_538a-008","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-03-25","NA"
"DvdM_539-01","Della Faille, Joris","1","Dordrecht","Haarlem","1585","1585-03-25","NA"
"DvdM_593a-067","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-25","NA"
"DvdM_274-08","Della Faille, Marten","1","Antwerp","Haarlem","1585","1585-03-28","NA"
"DvdM_593a-068","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-28","NA"
"DvdM_593a-069","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-30","NA"
"DvdM_593a-070","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-03-31","NA"
"DvdM_593a-071","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-04-06","NA"
"DvdM_593a-072","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-04-10","NA"
"DvdM_56-03","Eeckeren, Robert van","1","Haarlem","Delft","1585","1585-04-11","NA"
"DvdM_593a-073","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-04-11","NA"
"DvdM_593a-074","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-04-19","NA"
"DvdM_593a-075","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-04-24","NA"
"DvdM_239-43","Anraet, Thomas","1","Antwerp","Delft","1585","1585-04-27","NA"
"DvdM_593a-076","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-04-28","NA"
"DvdM_593a-077","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-04-30","NA"
"DvdM_538a-009","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-05-01","NA"
"DvdM_593a-078","Meulen, Andries van der","1","Antwerp","Middelburg","1585","1585-05-04","NA"
"DvdM_538a-011","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-05-08","NA"
"DvdM_274-10a","Della Faille, Marten","1","Antwerp","Delft","1585","1585-05-09","NA"
